SYMBOL_VEP	n
DNMT3A	2291
TET2	1593
PPM1D	1300
ASXL1	861
CHEK2	76
NF1	64
RAD21	55
ATM	46
TP53	45
KDM6A	39
MGA	35
DNMT3B	34
ARID2	31
SETD2	29
ZRSR2	29
ASXL2	28
SH2B3	27
STAG2	25
KMT2C	22
PHIP	22
EZH2	20
KMT2D	19
BCOR	16
CBL	16
FAT1	16
BRCC3	15
SUZ12	15
BRCA2	13
NOTCH1	13
PTPRT	13
SPEN	13
CALR	12
CUX1	12
RUNX1	12
CREBBP	11
CUL3	11
EP300	11
ETV6	11
KDM5C	11
MED12	11
ATRX	10
BCORL1	10
EGFL7	10
NOTCH2	10
TET1	10
EGFR	9
PTCH1	9
APC	8
ARID1A	8
FOXP1	8
NOTCH3	8
PTPRS	8
TSC2	8
ALK	7
AXIN2	7
CCND3	7
CTCF	7
FANCA	7
MSH6	7
MYCN	7
PDGFRB	7
RICTOR	7
TERT	7
TNFAIP3	7
BLM	6
CCND2	6
CDKN1B	6
EPHA5	6
JAK3	6
MITF	6
MST1R	6
NBN	6
NCOR1	6
PIK3CD	6
SETDB1	6
ERBB3	5
ERF	5
FGFR3	5
FGFR4	5
FLT1	5
GLI1	5
HLA-B	5
INPP4A	5
KDR	5
NTRK2	5
PBRM1	5
PDS5B	5
POLE	5
PREX2	5
RASA1	5
RPTOR	5
SMC3	5
TP53BP1	5
TRAF7	5
ZFHX3	5
ANKRD11	4
ATR	4
AXIN1	4
CDK12	4
DDR2	4
EPHA7	4
ERBB4	4
ERCC2	4
GRIN2A	4
INPPL1	4
MAP3K13	4
MAPK3	4
MDC1	4
MET	4
MTOR	4
NSD1	4
PIK3C2G	4
PIK3CB	4
PIK3R1	4
POLD1	4
PRKD1	4
PTPRD	4
RECQL4	4
RTEL1	4
SMARCA4	4
SOS1	4
SRSF2	4
TP63	4
TSHR	4
BARD1	3
BRIP1	3
BTK	3
CARD11	3
DICER1	3
DNAJB1	3
DNMT1	3
DOT1L	3
EIF4A2	3
EPCAM	3
EPHA3	3
EPHB1	3
FANCC	3
FGFR1	3
FLT4	3
HLA-A	3
IKZF1	3
KIT	3
MSI1	3
MUTYH	3
NF2	3
NFE2L2	3
NOTCH4	3
PGR	3
PIK3CG	3
PRKAR1A	3
RAD51D	3
RET	3
RNF43	3
ROS1	3
SMARCD1	3
SPRED1	3
SRC	3
STK40	3
SUFU	3
TCF3	3
XPO1	3
AKT1	2
ALOX12B	2
AR	2
ARAF	2
ARID1B	2
AXL	2
BCL2L11	2
BIRC3	2
BMPR1A	2
BRCA1	2
CDC73	2
CDK4	2
CDKN1A	2
CSDE1	2
CXCR4	2
ELF3	2
ERBB2	2
ERCC4	2
EZH1	2
FGF19	2
FGFR2	2
FH	2
FLCN	2
FOXL2	2
FUBP1	2
GATA2	2
GPS2	2
GSK3B	2
H3-3B	2
H3C11	2
HGF	2
IGF1R	2
IKBKE	2
INPP4B	2
IRF4	2
IRS2	2
KEAP1	2
KMT2A	2
KMT2B	2
MALT1	2
MAP3K1	2
MAX	2
MSH2	2
NFKBIA	2
NSD3	2
NTRK1	2
NTRK3	2
PAK1	2
PDGFRA	2
PDPK1	2
PLCG2	2
PMS1	2
PTEN	2
RAB35	2
RAD50	2
RAD54L	2
RAF1	2
RARA	2
RB1	2
REL	2
RHEB	2
RPS6KB2	2
SDHA	2
SESN2	2
SESN3	2
SF3B1	2
SMAD3	2
SOCS1	2
SPOP	2
STAT3	2
STAT5A	2
SYK	2
TEK	2
TMPRSS2	2
TSC1	2
