Gene	Role_in_Cancer
ABI1	TSG
ACVR2A	TSG
ALDH2	TSG
AMER1	TSG
APC	TSG
APOBEC3B	oncogene/TSG
ARHGAP26	TSG
ARHGEF12	TSG
ARID1A	TSG
ARID1B	TSG
ARID2	TSG
ARNT	oncogene/TSG
ASXL1	TSG
ATM	TSG
ATP1A1	oncogene/TSG
ATP2B3	TSG
ATR	TSG
ATRX	TSG
AXIN1	TSG
AXIN2	TSG
B2M	TSG
BAP1	TSG
BCL11B	oncogene/TSG
BCL9L	oncogene/TSG
BCOR	TSG
BCORL1	oncogene/TSG
BIRC3	oncogene/TSG
BLM	TSG
BMPR1A	oncogene/TSG
BRCA1	TSG
BRCA2	TSG
BRIP1	TSG
BTG1	TSG
BTK	oncogene/TSG
BUB1B	TSG
CAMTA1	TSG
CASP8	TSG
CBFB	TSG
CBL	oncogene/TSG
CBLB	TSG
CBLC	oncogene/TSG
CCDC6	TSG
CCNB1IP1	TSG
CD274	TSG
CDC73	TSG
CDH1	TSG
CDH11	TSG
CDK12	TSG
CDKN1B	TSG
CDKN2A	TSG
CDKN2C	TSG
CDX2	TSG
CEBPA	TSG
CHEK2	TSG
CIITA	TSG
CLTC	TSG
CLTCL1	TSG
CNBP	TSG
CNOT3	TSG
CREB3L1	TSG
CREBBP	oncogene/TSG
CTCF	TSG
CUX1	oncogene/TSG
CYLD	TSG
DAXX	oncogene/TSG
DDB2	oncogene/TSG
DDX3X	TSG
DICER1	TSG
DNM2	TSG
DNMT3A	TSG
DROSHA	TSG
EPAS1	oncogene/TSG
ERBB4	oncogene/TSG
ERCC2	TSG
ERCC3	TSG
ERCC4	TSG
ERCC5	TSG
ETNK1	TSG
EXT2	TSG
EZH2	oncogene/TSG
FAM46C	TSG
FANCA	TSG
FANCC	TSG
FANCD2	TSG
FANCE	TSG
FANCF	TSG
FANCG	TSG
FAS	TSG
FAT1	TSG
FAT4	TSG
FBXO11	TSG
FBXW7	TSG
FES	oncogene/TSG
FH	TSG
FHIT	TSG
FLCN	TSG
FOXL2	oncogene/TSG
FOXO1	oncogene/TSG
FOXO3	oncogene/TSG
FOXO4	oncogene/TSG
GATA1	oncogene/TSG
GATA3	oncogene/TSG
GRIN2A	TSG
HNF1A	TSG
IKZF1	TSG
IRF4	oncogene/TSG
JAK1	oncogene/TSG
KDM5C	TSG
KDM6A	oncogene/TSG
KEAP1	TSG
KLF4	oncogene/TSG
KLF6	TSG
KMT2C	TSG
KMT2D	oncogene/TSG
LEF1	oncogene/TSG
LRP1B	TSG
LZTR1	TSG
MAP2K4	oncogene/TSG
MAP3K1	oncogene/TSG
MAP3K13	oncogene/TSG
MAX	TSG
MED12	TSG
MEN1	TSG
MLH1	TSG
MSH2	TSG
MSH6	TSG
MUTYH	TSG
NBN	TSG
NCOR1	TSG
NCOR2	TSG
NF2	TSG
NFE2L2	oncogene/TSG
NFKBIE	TSG
NKX2-1	oncogene/TSG
NOTCH1	oncogene/TSG
NOTCH2	oncogene/TSG
PALB2	TSG
PBRM1	TSG
PTEN	TSG
PTK6	oncogene/TSG
PTPN13	TSG
PTPRT	TSG
QKI	oncogene/TSG
RB1	TSG
RBM10	TSG
RUNX1	oncogene/TSG
SDHA	TSG
SETD2	TSG
SFRP4	TSG
SH2B3	TSG
SMAD2	TSG
SMAD3	TSG
SMAD4	TSG
SOCS1	TSG
STK11	TSG
TBX3	oncogene/TSG
TET1	oncogene/TSG
TET2	TSG
TGFBR2	TSG
TMEM127	TSG
TP53	oncogene/TSG
TP63	oncogene/TSG
TSC1	TSG
TSC2	TSG
VHL	TSG
XPA	TSG
XPC	TSG
ZFHX3	TSG
