Hugo Symbol	Entrez Gene ID	GRCh37 Isoform	GRCh37 RefSeq	GRCh38 Isoform	GRCh38 RefSeq	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene	Is Tumor Suppressor Gene	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	Gene Aliases
ABL1	25	ENST00000318560	NM_005157.4	ENST00000318560	NM_005157.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	ABL, JTK7, c-ABL
AKT1	207	ENST00000349310	NM_001014431.1	ENST00000349310	NM_001014431.1	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	AKT, PKB, PRKBA, RAC, RAC-alpha
ALK	238	ENST00000389048	NM_004304.4	ENST00000389048	NM_004304.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CD246
AMER1	139285	ENST00000330258	NM_152424.3	ENST00000374869	NM_152424.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FAM123B, FLJ39827, RP11-403E24.2, WTX
APC	324	ENST00000257430	NM_000038.5	ENST00000257430	NM_000038.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DP2.5, PPP1R46
AR	367	ENST00000374690	NM_000044.3	ENST00000374690	NM_000044.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	AIS, DHTR, HUMARA, NR3C4, SBMA, SMAX1
ARID1A	8289	ENST00000324856	NM_006015.4	ENST00000324856	NM_006015.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	B120, BAF250, BAF250a, C10rf4, C1orf4, P270, SMARCF1
ASXL1	171023	ENST00000375687	NM_015338.5	ENST00000375687	NM_015338.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0978
ATM	472	ENST00000278616	NM_000051.3	ENST00000278616	NM_000051.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ATA, ATC, ATD, ATDC, TEL1, TELO1
ATRX	546	ENST00000373344	NM_000489.3	ENST00000373344	NM_000489.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JMS, MRX52, RAD54, XH2, XNP
AXIN1	8312	ENST00000262320	NM_003502.3	ENST00000262320	NM_003502.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	PPP1R49
BAP1	8314	ENST00000460680	NM_004656.3	ENST00000460680	NM_004656.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0272, UCHL2, hucep-6
BCL2	596	ENST00000333681	NM_000633.2	ENST00000333681	NM_000633.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Bcl-2, PPP1R50
BCOR	54880	ENST00000378444	NM_001123385.1	ENST00000378444	NM_001123385.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FLJ20285, KIAA1575
BRAF	673	ENST00000288602	NM_004333.4	ENST00000646891	NM_004333.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	BRAF1
BRCA1	672	ENST00000357654	NM_007294.3	ENST00000357654	NM_007294.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FANCS, PPP1R53, RNF53
BRCA2	675	ENST00000380152	NM_000059.3	ENST00000380152	NM_000059.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	FAD1, FANCD1, XRCC11
CARD11	84433	ENST00000396946	NM_032415.4	ENST00000396946	NM_032415.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	BIMP3, CARMA1
CBL	867	ENST00000264033	NM_005188.3	ENST00000264033	NM_005188.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CBL2, RNF55, c-Cbl
CDC73	79577	ENST00000367435	NM_024529.4	ENST00000367435	NM_024529.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	C1orf28, FIHP, HRPT1, HRPT2, parafibromin
CDH1	999	ENST00000261769	NM_004360.3	ENST00000261769	NM_004360.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	CD324, UVO, uvomorulin
CDKN2A	1029	ENST00000304494	NM_000077.4	ENST00000304494	NM_000077.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ARF, CDKN2, CMM2, INK4, INK4a, MLM, p14, p14ARF, p16, p16INK4a, p19Arf
CEBPA	1050	ENST00000498907	NM_004364.3	ENST00000498907	NM_004364.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	C/EBP-alpha, CEBP
CIC	23152	ENST00000575354	NM_015125.3	ENST00000575354	NM_015125.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KIAA0306
CREBBP	1387	ENST00000262367	NM_004380.2	ENST00000262367	NM_004380.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KAT3A, RSTS, RTS
CTNNB1	1499	ENST00000349496	NM_001904.3	ENST00000349496	NM_001904.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CTNNB, armadillo, beta-catenin
DAXX	1616	ENST00000374542	NM_001141970.1	ENST00000266000	NM_001141970.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DAP6
DNMT3A	1788	ENST00000264709	NM_022552.4	ENST00000264709	NM_022552.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
EGFR	1956	ENST00000275493	NM_005228.3	ENST00000275493	NM_005228.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	ERBB, ERBB1, ERRP
EP300	2033	ENST00000263253	NM_001429.3	ENST00000263253	NM_001429.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	KAT3B, p300
ERBB2	2064	ENST00000269571	NM_004448.2	ENST00000269571	NM_004448.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CD340, HER-2, HER2, NGL
EZH2	2146	ENST00000320356	NM_004456.4	ENST00000320356	NM_004456.4	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ENX-1, KMT6, KMT6A
FBXW7	55294	ENST00000281708	NM_033632.3	ENST00000281708	NM_033632.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	AGO, CDC4, FBW7, FBX30, FBXW6, FLJ11071, SEL-10, SEL10
FGFR2	2263	ENST00000358487	NM_000141.4	ENST00000358487	NM_000141.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	BEK, CD332, CEK3, CFD1, ECT1, JWS, K-SAM, KGFR, TK14, TK25
FGFR3	2261	ENST00000260795	NM_000142.4	ENST00000440486	NM_000142.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	ACH, CD333, CEK2, JTK4
FLT3	2322	ENST00000241453	NM_004119.2	ENST00000241453	NM_004119.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CD135, FLK2, STK1
FOXL2	668	ENST00000330315	NM_023067.3	ENST00000648323	NM_023067.3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BPES, BPES1
GATA3	2625	ENST00000346208	NM_002051.2	ENST00000346208	NM_002051.2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HDR
GNA11	2767	ENST00000078429	NM_002067.2	ENST00000078429	NM_002067.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	FBH, FBH2, FHH2, HHC2
GNAQ	2776	ENST00000286548	NM_002072.3	ENST00000286548	NM_002072.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	G-ALPHA-q, GAQ
GNAS	2778	ENST00000371085	NM_000516.4	ENST00000371085	NM_000516.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI
HNF1A	6927	ENST00000257555	NM_000545.5	ENST00000257555	NM_000545.5	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	HNF1, LFB1, MODY3, TCF1
HRAS	3265	ENST00000451590	NM_005343.2	ENST00000451590	NM_005343.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	HRAS1
IDH1	3417	ENST00000345146	NM_005896.2	ENST00000345146	NM_005896.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
IDH2	3418	ENST00000330062	NM_002168.2	ENST00000330062	NM_002168.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
JAK1	3716	ENST00000342505	NM_002227.2	ENST00000342505	NM_002227.2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	JAK1A, JAK1B, JTK3
JAK2	3717	ENST00000381652	NM_004972.3	ENST00000381652	NM_004972.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	JTK10
JAK3	3718	ENST00000458235	NM_000215.3	ENST00000458235	NM_000215.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK
KDM5C	8242	ENST00000375401	NM_004187.3	ENST00000375401	NM_004187.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	DXS1272E, JARID1C, MRX13, SMCX, XE169
KDM6A	7403	ENST00000377967	NM_021140.2	ENST00000377967	NM_021140.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	UTX
KIT	3815	ENST00000288135	NM_000222.2	ENST00000288135	NM_000222.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	C-Kit, CD117, PBT, SCFR
KMT2D	8085	ENST00000301067	NM_003482.3	ENST00000301067	NM_003482.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ALR, CAGL114, MLL2, TNRC21
KRAS	3845	ENST00000311936	NM_004985.3	ENST00000311936	NM_004985.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	K-Ras4B, KRAS1, KRAS2
MAP2K1	5604	ENST00000307102	NM_002755.3	ENST00000307102	NM_002755.3	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	MAPKK1, MEK1, PRKMK1
MAP3K1	4214	ENST00000399503	NM_005921.1	ENST00000399503	NM_005921.1	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	MAPKKK1, MEKK, MEKK1
MED12	9968	ENST00000374080	NM_005120.2	ENST00000374080	NM_005120.2	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ARC240, CAGH45, FGS1, HOPA, KIAA0192, Kto, OKS, TNRC11, TRAP230
MEN1	4221	ENST00000312049	NM_130799.2	ENST00000312049	NM_130799.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
MET	4233	ENST00000397752	NM_000245.2	ENST00000397752	NM_000245.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	DFNB97, HGFR, RCCP2
MLH1	4292	ENST00000231790	NM_000249.3	ENST00000231790	NM_000249.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	COCA2, FCC2, HNPCC, HNPCC2
MPL	4352	ENST00000372470	NM_005373.2	ENST00000372470	NM_005373.2	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CD110, THPOR, TPOR
MSH2	4436	ENST00000233146	NM_000251.2	ENST00000233146	NM_000251.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	COCA1, HNPCC1
MSH6	2956	ENST00000234420	NM_000179.2	ENST00000234420	NM_000179.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	GTBP
MYD88	4615	ENST00000396334	NM_002468.4	ENST00000396334	NM_002468.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
NF1	4763	ENST00000356175	NM_000267.3	ENST00000356175	NM_000267.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NF2	4771	ENST00000338641	NM_000268.3	ENST00000338641	NM_000268.3	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	ACN, BANF, SCH, merlin, merlin-1
NFE2L2	4780	ENST00000397062	NM_006164.4	ENST00000397062	NM_006164.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	
NOTCH1	4851	ENST00000277541	NM_017617.3	ENST00000651671	NM_017617.3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	TAN1
NOTCH2	4853	ENST00000256646	NM_024408.3	ENST00000256646	NM_024408.3	7	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	
NPM1	4869	ENST00000296930	NM_002520.6	ENST00000296930	NM_002520.6	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	B23, NPM
NRAS	4893	ENST00000369535	NM_002524.4	ENST00000369535	NM_002524.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	N-ras
PAX5	5079	ENST00000358127	NM_016734.2	ENST00000358127	NM_016734.2	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BSAP
PBRM1	55193	ENST00000394830	NM_018313.4	ENST00000394830	NM_018313.4	7	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	BAF180, PB1
PDGFRA	5156	ENST00000257290	NM_006206.4	ENST00000257290	NM_006206.4	7	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	CD140a, GAS9, PDGFR2
